Feature,Importance
numerical__Days_Since_Last_Order,0.2029933108039866
numerical__Invoice_Amount,0.1241457148981393
numerical__Prior_Late_Payments,0.09876462536510462
numerical__Avg_Days_To_Pay,0.09537399041087256
numerical__Reminder_Count,0.06201521940575128
numerical__Customer_Tenure_Months,0.05613956640513104
categorical__Industry_Retail,0.04268317392003018
categorical__Early_Payment_Discount_Offered_No,0.03333496356433706
categorical__Region_Ontario,0.024994318165472287
categorical__Invoice_Month_Apr,0.021277540925180853
categorical__Credit_Score_Band_Low,0.02081478945566587
categorical__Credit_Score_Band_Medium,0.020224896637084242
categorical__Industry_Manufacturing,0.019562772044798747
categorical__Region_Prairies,0.01832984026519485
categorical__Invoice_Month_Jan,0.018213615352054006
categorical__Invoice_Month_Aug,0.016734040179010607
categorical__Online_Portal_Use_Yes,0.015258962194943037
categorical__Invoice_Month_Feb,0.014446354740774455
categorical__Online_Portal_Use_No,0.012517721096502569
categorical__Invoice_Month_Sep,0.01165135687962278
categorical__Invoice_Month_Dec,0.011268156697804076
categorical__Credit_Score_Band_High,0.009591753147668686
categorical__Customer_Segment_Small Business,0.0093901305815034
categorical__Invoice_Month_Mar,0.0093901305815034
categorical__Invoice_Month_May,0.0093901305815034
categorical__Invoice_Month_Jun,0.008115755716870798
categorical__Region_Alberta,0.00704259793612755
numerical__Payment_Terms_Days,0.006334572047361781
categorical__Invoice_Month_Oct,0.0
categorical__Region_Atlantic Canada,0.0
categorical__Industry_Construction,0.0
categorical__Industry_Healthcare Services,0.0
categorical__Industry_Professional Services,0.0
categorical__Industry_Technology,0.0
categorical__Region_British Columbia,0.0
categorical__Dispute_Flag_No,0.0
categorical__Region_Quebec,0.0
categorical__Early_Payment_Discount_Offered_Yes,0.0
categorical__Invoice_Month_Jul,0.0
categorical__Customer_Segment_Mid-Market,0.0
categorical__Invoice_Month_Nov,0.0
categorical__Dispute_Flag_Yes,0.0
categorical__Customer_Segment_Enterprise,0.0
